almacen,codigo,producto,categoria,unidad,saldo,saldo_fisico,por_ingresar,transito,salida_espera,reservas,saldo_virtual
LIM/Existencias,0202006,"Tubo CUAD 5/8""X0.9mX6.0m",Cuadrado,Unit(s),0,0,1747.000,0,0,0,1747.000
LIM/Existencias,0202007,"Tubo CUAD 3/4""X0.75mX6.0m",Cuadrado,Unit(s),0,0,1300.000,0,0,0,1300.000
LIM/Existencias,0202008,"Tubo CUAD 3/4""X0.8mX6.0m",Cuadrado,Unit(s),0,0,1600.000,0,0,0,1600.000
LIM/Existencias,0202009,"Tubo CUAD 3/4""X0.9mX6.0m",Cuadrado,Unit(s),0,0,4600.000,0,0,0,4600.000
LIM/Existencias,0202010,"Tubo CUAD 3/4""X1.2mX6.0m",Cuadrado,Unit(s),0,0,2200.000,0,0,0,2200.000
LIM/Existencias,0202011,"Tubo CUAD 3/4""X1.5mX6.0m",Cuadrado,Unit(s),0,0,1000.000,0,0,0,1000.000
LIM/Existencias,0202012,"Tubo CUAD 7/8""X0.75mX6.0m",Cuadrado,Unit(s),0,0,1300.000,0,0,0,1300.000
LIM/Existencias,0202013,"Tubo CUAD 7/8""X0.8mX6.0m ",Cuadrado,Unit(s),0,0,1700.000,0,0,0,1700.000
LIM/Existencias,0202014,"Tubo CUAD 7/8""X0.9mX6.0m",Cuadrado,Unit(s),0,0,3400.000,0,0,0,3400.000
LIM/Existencias,0202015,"Tubo CUAD 7/8""X1.2mX6.0m",Cuadrado,Unit(s),0,0,1000.000,0,0,0,1000.000
LIM/Existencias,0202016,"Tubo CUAD 7/8""X1.5mX6.0m",Cuadrado,Unit(s),0,0,500.000,0,0,0,500.000
LIM/Existencias,0202018,"Tubo CUAD 1""X0.75mX6.0m",Cuadrado,Unit(s),0,0,1150.000,0,0,0,1150.000
LIM/Existencias,0202019,"Tubo CUAD 1""X0.8mX6.0m",Cuadrado,Unit(s),0,0,3950.000,0,0,0,3950.000
LIM/Existencias,0202020,"Tubo CUAD 1""X0.9mX6.0m",Cuadrado,Unit(s),0,0,18500.000,0,0,0,18500.000
LIM/Existencias,0202021,"Tubo CUAD 1""X1.2mX6.0m",Cuadrado,Unit(s),0,0,9400.000,0,0,0,9400.000
LIM/Existencias,0202022,"Tubo CUAD 1""X1.5mX6.0m",Cuadrado,Unit(s),0,0,1000.000,0,0,0,1000.000
LIM/Existencias,0202025,"Tubo CUAD 1.1/4""X0.75mX6.0m",Cuadrado,Unit(s),0,0,810.000,0,0,0,810.000
LIM/Existencias,0202026,"Tubo CUAD 1.1/4""X0.8mX6.0m",Cuadrado,Unit(s),0,0,1053.000,0,0,0,1053.000
LIM/Existencias,0202027,"Tubo CUAD 1.1/4""X0.9mX6.0m",Cuadrado,Unit(s),0,0,3739.000,0,0,0,3739.000
LIM/Existencias,0202028,"Tubo CUAD 1.1/4""X1.2mX6.0m",Cuadrado,Unit(s),0,0,4608.000,0,0,0,4608.000
LIM/Existencias,0202033,"Tubo CUAD 1.1/2""X0.9mX6.0m",Cuadrado,Unit(s),0,0,2975.000,0,0,0,2975.000
LIM/Existencias,0202034,"Tubo CUAD 1.1/2""X1.2mX6.0m",Cuadrado,Unit(s),0,0,4590.000,0,0,0,4590.000
LIM/Existencias,0202036,"Tubo CUAD 2""X1.2mX6.0m",Cuadrado,Unit(s),0,0,2670.000,0,0,0,2670.000
LIM/Existencias,0202038,"Tubo CUAD 1""X1.8mX6.0m LAC",Cuadrado,Unit(s),0,0,1400.000,0,0,0,1400.000
